subject,run_no,campaign_name,estimator_label,estimate_total
parsere,2,parsere_aflpp_run_02,Gamma (incidence-frequency estimator),1.2152e+16
parsere,2,parsere_aflpp_run_02,Negative Binomial (incidence-frequency estimator),12229.120419647266
parsere,2,parsere_aflpp_run_02,ztPoisson (incidence-frequency estimator),12152.0
parsere,2,parsere_aflpp_run_02,ztNB (incidence-frequency estimator),12229.120419647266
parsere,2,parsere_aflpp_run_02,Gamma-Poisson (incidence-frequency estimator),12229.120419647266
parsere,2,parsere_aflpp_run_02,Lanumteang-Bohning (incidence-based),12485.70607300784
parsere,2,parsere_aflpp_run_02,Chiu (incidence-based),12152.360512820513
parsere,2,parsere_aflpp_run_02,Beta-Binomial (incidence-based),12658.127859183907
parsere,2,parsere_aflpp_run_02,Zipf-Mandelbrot (coverage-frequency estimator),12152.0
parsere,2,parsere_aflpp_run_02,Poisson (hit-count estimator),12152.0
parsere,2,parsere_aflpp_run_02,Exponential (hit-count estimator),12152.000463864428
parsere,2,parsere_aflpp_run_02,Gamma (hit-count estimator),13468.64141991261
parsere,2,parsere_aflpp_run_02,Negative Binomial (hit-count estimator),13380.358255785444
parsere,3,parsere_aflpp_run_03,Chao2 (incidence-based),12198.39188068833
parsere,3,parsere_aflpp_run_03,Chao2_bc (incidence-based),12198.224593389823
parsere,3,parsere_aflpp_run_03,Jackknife1 (incidence-based),12495.490341753342
parsere,3,parsere_aflpp_run_03,Chao1 (incidence-based),12198.45942812983
parsere,3,parsere_aflpp_run_03,Poisson (incidence-frequency estimator),12153.0
parsere,3,parsere_aflpp_run_03,Exponential (incidence-frequency estimator),1.2153e+16
parsere,3,parsere_aflpp_run_03,Gamma (incidence-frequency estimator),1.2153e+16
parsere,3,parsere_aflpp_run_03,Negative Binomial (incidence-frequency estimator),12247.598257112013
parsere,3,parsere_aflpp_run_03,ztPoisson (incidence-frequency estimator),12153.0
parsere,3,parsere_aflpp_run_03,ztNB (incidence-frequency estimator),12247.598257112013
parsere,3,parsere_aflpp_run_03,Gamma-Poisson (incidence-frequency estimator),12247.598257112013
parsere,3,parsere_aflpp_run_03,Lanumteang-Bohning (incidence-based),12180.140234458973
parsere,3,parsere_aflpp_run_03,Chiu (incidence-based),12153.132534775888
parsere,3,parsere_aflpp_run_03,Beta-Binomial (incidence-based),12198.39188068833
parsere,3,parsere_aflpp_run_03,Zipf-Mandelbrot (coverage-frequency estimator),12153.0
parsere,3,parsere_aflpp_run_03,Poisson (hit-count estimator),12153.0
parsere,3,parsere_aflpp_run_03,Exponential (hit-count estimator),12153.000515459093
parsere,3,parsere_aflpp_run_03,Gamma (hit-count estimator),13487.652719883245
parsere,3,parsere_aflpp_run_03,Negative Binomial (hit-count estimator),13434.08100081646
parserf,1,parserf_aflpp_run_01,Chao2 (incidence-based),14027.454941884364
parserf,1,parserf_aflpp_run_01,Chao2_bc (incidence-based),14027.322999029591
parserf,1,parserf_aflpp_run_01,Jackknife1 (incidence-based),14359.445765230312
parserf,1,parserf_aflpp_run_01,Chao1 (incidence-based),14027.51514269074
parserf,1,parserf_aflpp_run_01,Poisson (incidence-frequency estimator),13987.0
parserf,1,parserf_aflpp_run_01,Exponential (incidence-frequency estimator),1.3987e+16
parserf,1,parserf_aflpp_run_01,Gamma (incidence-frequency estimator),1.3987e+16
parserf,1,parserf_aflpp_run_01,Negative Binomial (incidence-frequency estimator),14153.711821116605
parserf,1,parserf_aflpp_run_01,ztPoisson (incidence-frequency estimator),13987.0
parserf,1,parserf_aflpp_run_01,ztNB (incidence-frequency estimator),14153.711821116605
parserf,1,parserf_aflpp_run_01,Gamma-Poisson (incidence-frequency estimator),14153.711821116605
parserf,1,parserf_aflpp_run_01,Lanumteang-Bohning (incidence-based),13995.18891722308
parserf,1,parserf_aflpp_run_01,Chiu (incidence-based),13987.108619685498
parserf,1,parserf_aflpp_run_01,Beta-Binomial (incidence-based),14027.454941884364
parserf,1,parserf_aflpp_run_01,Zipf-Mandelbrot (coverage-frequency estimator),13987.0
parserf,1,parserf_aflpp_run_01,Poisson (hit-count estimator),13987.0
parserf,1,parserf_aflpp_run_01,Exponential (hit-count estimator),13987.001027991273
parserf,1,parserf_aflpp_run_01,Gamma (hit-count estimator),15784.41078917627
parserf,1,parserf_aflpp_run_01,Negative Binomial (hit-count estimator),16611.343990791018
parserf,2,parserf_aflpp_run_02,Chao2 (incidence-based),14048.135156411443
parserf,2,parserf_aflpp_run_02,Chao2_bc (incidence-based),14047.987839352863
parserf,2,parserf_aflpp_run_02,Jackknife1 (incidence-based),14396.411589895988
parserf,2,parserf_aflpp_run_02,Chao1 (incidence-based),14048.205298013245
parserf,2,parserf_aflpp_run_02,Poisson (incidence-frequency estimator),14001.0
parserf,2,parserf_aflpp_run_02,Exponential (incidence-frequency estimator),1.4001e+16
parserf,2,parserf_aflpp_run_02,Gamma (incidence-frequency estimator),1.4001e+16
parserf,2,parserf_aflpp_run_02,Negative Binomial (incidence-frequency estimator),14158.261333068913
parserf,2,parserf_aflpp_run_02,ztPoisson (incidence-frequency estimator),14001.0
parserf,2,parserf_aflpp_run_02,ztNB (incidence-frequency estimator),14158.261333068913
parserf,2,parserf_aflpp_run_02,Gamma-Poisson (incidence-frequency estimator),14158.261333068913
parserf,2,parserf_aflpp_run_02,Lanumteang-Bohning (incidence-based),14012.291508941022
parserf,2,parserf_aflpp_run_02,Chiu (incidence-based),14001.119205298013
parserf,2,parserf_aflpp_run_02,Beta-Binomial (incidence-based),14048.135156411443
parserf,2,parserf_aflpp_run_02,Zipf-Mandelbrot (coverage-frequency estimator),14001.0
parserf,2,parserf_aflpp_run_02,Poisson (hit-count estimator),14001.0
parserf,2,parserf_aflpp_run_02,Exponential (hit-count estimator),14001.000991410718
parserf,2,parserf_aflpp_run_02,Gamma (hit-count estimator),15795.60636384031
parserf,2,parserf_aflpp_run_02,Negative Binomial (hit-count estimator),16553.173964992675
parserf,3,parserf_aflpp_run_03,Chao2 (incidence-based),14024.523416945305
parserf,3,parserf_aflpp_run_03,Chao2_bc (incidence-based),14024.38569972694
parserf,3,parserf_aflpp_run_03,Jackknife1 (incidence-based),14367.424962852898
parserf,3,parserf_aflpp_run_03,Chao1 (incidence-based),14024.588183934808
parserf,3,parserf_aflpp_run_03,Poisson (incidence-frequency estimator),13981.0
parserf,3,parserf_aflpp_run_03,Exponential (incidence-frequency estimator),1.3981e+16
parserf,3,parserf_aflpp_run_03,Gamma (incidence-frequency estimator),1.3981e+16
parserf,3,parserf_aflpp_run_03,Negative Binomial (incidence-frequency estimator),14142.439115676805
parserf,3,parserf_aflpp_run_03,ztPoisson (incidence-frequency estimator),13981.0
parserf,3,parserf_aflpp_run_03,ztNB (incidence-frequency estimator),14142.439115676805
parserf,3,parserf_aflpp_run_03,Gamma-Poisson (incidence-frequency estimator),14142.439115676805
parserf,3,parserf_aflpp_run_03,Lanumteang-Bohning (incidence-based),13990.12150095466
parserf,3,parserf_aflpp_run_03,Chiu (incidence-based),13981.11263096624
parserf,3,parserf_aflpp_run_03,Beta-Binomial (incidence-based),14024.523416945305
parserf,3,parserf_aflpp_run_03,Zipf-Mandelbrot (coverage-frequency estimator),13981.0
parserf,3,parserf_aflpp_run_03,Poisson (hit-count estimator),13981.0
parserf,3,parserf_aflpp_run_03,Exponential (hit-count estimator),13981.001018699373
parserf,3,parserf_aflpp_run_03,Gamma (hit-count estimator),15770.92401957056
parserf,3,parserf_aflpp_run_03,Negative Binomial (hit-count estimator),16571.112448484128
