subject,artifact_key,program_type,has_known_total,target_type,known_total,observed_total,observed_total_hitcount,observed_total_for_estimator,estimate_total,estimated_unseen_vs_observed,signed_error,abs_error,rel_error,coverage_completion,estimator,estimator_input,estimator_label,n_campaigns,F1,F2,F3,t,p0,p_seen,loglik,aic,bic,rmse,lambda,shape,scale,rate,size,prob,mean,J,s,q,method_note,estimator_family
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8904.31428511118,7.314285111180652,-127550.68571488882,127550.68571488882,0.9347454158139228,0.0652009820087208,Gamma,incidence_frequency,Gamma (incidence-frequency estimator),3,80.0,89.0,,673.0,0.0008214315978729,0.9991785684021272,-61345.74541006281,122695.49082012562,122709.6777589661,57.53381395324821,,1.2255460294499754,300.3288629457499,0.0033296833018031,,,,,,,Incidence-frequency discretized Gamma estimator.,standard_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8904.811153786442,7.811153786442446,-127550.18884621355,127550.18884621355,0.9347417745499508,0.0652009820087208,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,80.0,89.0,,673.0,0.0008771835417442,0.9991228164582556,-61341.88639124499,122687.77278248998,122701.95972133048,57.53488043215293,,1.2350750500203451,297.59324337834425,0.003360291344816,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8976.881129271917,79.8811292719165,-127478.11887072808,127478.11887072808,0.934213615263113,0.0652009820087208,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,80.0,89.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8940.03167940718,43.03167940718049,-127514.96832059282,127514.96832059282,0.9344836636297154,0.0652009820087208,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,80.0,89.0,79.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8904.811422345068,7.811422345068422,-127550.18857765492,127550.18857765492,0.9347417725818395,0.0652009820087208,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),3,80.0,89.0,,673.0,0.0008772136741119,0.999122786325888,-61341.88639093885,122687.7727818777,122701.9597207182,57.534886574086265,,,,,1.235070008800005,0.0033490528430194,367.546811523557,,,,Incidence-frequency Negative Binomial estimator.,standard_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8897.0,0.0,-127558.0,127558.0,0.9347990179912792,0.0652009820087208,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),3,80.0,89.0,,673.0,1.726366757987785e-160,1.0,-736380.8674133879,1472763.7348267755,1472770.828296196,70.89173975360427,367.86759581881535,,,,,,,,,,Incidence-frequency Poisson estimator.,standard_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8904.811422345068,7.811422345068422,-127550.18857765492,127550.18857765492,0.9347417725818395,0.0652009820087208,ztNB,incidence_frequency,ztNB (incidence-frequency estimator),3,80.0,89.0,,673.0,0.0008772136741119,0.999122786325888,-61341.88639093885,122687.7727818777,122701.9597207182,57.534886574086265,,,,,1.235070008800005,0.0033490528430194,,,,,Zero-truncated Negative Binomial-style estimator from fitted incidence model.,zero_truncated_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8897.0,0.0,-127558.0,127558.0,0.9347990179912792,0.0652009820087208,ztPoisson,incidence_frequency,ztPoisson (incidence-frequency estimator),3,80.0,89.0,,673.0,1.726366757987785e-160,1.0,-736380.8674133879,1472763.7348267755,1472770.828296196,70.89173975360427,367.86759581881535,,,,,,,,,,Zero-truncated Poisson-style estimator from fitted Poisson incidence model.,zero_truncated_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12252.232418320771,16.232418320772922,-219257.7675816792,219257.7675816792,0.947076876081721,0.0528530085093516,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),3,202.0,1255.0,1892.0,673.0,0.0057118685811241,0.9942881314188758,,,,,,,,,,,,,,,"Beta-Binomial estimator (Chiu 2022 Eq. 7). Parameters alpha_BB=alpha_GP, beta_BB=beta_GP*T derived from Gamma-Poisson fit.",non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12252.25657370518,16.256573705179107,-219257.7434262948,219257.7434262948,0.9470767717433148,0.0528530085093516,Chao1,incidence_frequency,Chao1 (incidence-based),3,202.0,1255.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12252.232418320771,16.232418320772922,-219257.7675816792,219257.7675816792,0.947076876081721,0.0528530085093516,Chao2,incidence_frequency,Chao2 (incidence-based),3,202.0,1255.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12252.139199894,16.13919989399983,-219257.860800106,219257.860800106,0.9470772787357176,0.0528530085093516,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,202.0,1255.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12236.08047808765,0.0804780876496806,-219273.91952191235,219273.91952191235,0.9471466438681369,0.0528530085093516,Chiu,incidence_frequency,Chiu (incidence-based),3,202.0,1255.0,1892.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,1.2236e+16,1.2235999999987764e+16,1.223599999976849e+16,1.223599999976849e+16,52853008508.35165,0.0528530085093516,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),3,202.0,1255.0,,673.0,1.0,1e-12,-8114236.18498804,16228474.36997608,16228481.782113789,125.5585232912698,,,6.471946743718196e-08,15451301.43369336,,,,,,,Incidence-frequency discretized Exponential estimator.,standard_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,1.2236e+16,1.2235999999987764e+16,1.223599999976849e+16,1.223599999976849e+16,52853008508.35165,0.0528530085093516,Gamma,incidence_frequency,Gamma (incidence-frequency estimator),3,202.0,1255.0,,673.0,1.0,1e-12,-8114236.18498804,16228476.36997608,16228491.19425149,125.5585232912698,,2.061153622438558e-09,2.061153622438558e-09,485165195.4097903,,,,,,,Incidence-frequency discretized Gamma estimator.,standard_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12307.699113403543,71.69911340354338,-219202.30088659647,219202.30088659647,0.9468372894760332,0.0528530085093516,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,202.0,1255.0,,673.0,0.0058255497427184,0.9941744502572816,-79626.60060108418,159257.20120216836,159272.0254775789,122.56813998538696,,0.897368850546811,308.19979420415507,0.0032446485001141,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12437.69985141159,201.6998514115894,-219072.3001485884,219072.3001485884,0.946275755468828,0.0528530085093516,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,202.0,1255.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12241.91705118802,5.917051188020196,-219268.082948812,219268.082948812,0.9471214329783249,0.0528530085093516,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,202.0,1255.0,1892.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12307.699113403543,71.69911340354338,-219202.30088659647,219202.30088659647,0.9468372894760332,0.0528530085093516,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),3,202.0,1255.0,,673.0,0.0058255497427184,0.9941744502572816,-79626.60060108466,159257.20120216932,159272.02547757985,122.56813998538702,,,,,0.897368850546811,0.0032341548045783,276.5688950637464,,,,Incidence-frequency Negative Binomial estimator.,standard_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12236.0,0.0,-219274.0,219274.0,0.9471469914906484,0.0528530085093516,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),3,202.0,1255.0,,673.0,7.7206703142126535e-121,1.0,-2325094.8014264083,4650191.602852817,4650199.014990522,139.28164109480744,276.5688950637463,,,,,,,,,,Incidence-frequency Poisson estimator.,standard_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12307.699113403543,71.69911340354338,-219202.30088659647,219202.30088659647,0.9468372894760332,0.0528530085093516,ztNB,incidence_frequency,ztNB (incidence-frequency estimator),3,202.0,1255.0,,673.0,0.0058255497427184,0.9941744502572816,-79626.60060108466,159257.20120216932,159272.02547757985,122.56813998538702,,,,,0.897368850546811,0.0032341548045783,,,,,Zero-truncated Negative Binomial-style estimator from fitted incidence model.,zero_truncated_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12236.0,0.0,-219274.0,219274.0,0.9471469914906484,0.0528530085093516,ztPoisson,incidence_frequency,ztPoisson (incidence-frequency estimator),3,202.0,1255.0,,673.0,7.7206703142126535e-121,1.0,-2325094.8014264083,4650191.602852817,4650199.014990522,139.28164109480744,276.5688950637463,,,,,,,,,,Zero-truncated Poisson-style estimator from fitted Poisson incidence model.,zero_truncated_parametric
parserf,parserf,synthetic,True,known_total,331301.0,14186,14186,14186,14236.904617908573,50.90461790857262,-317064.0953820914,317064.0953820914,0.9570272814814668,0.0428190678567224,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),3,414.0,1681.0,1030.0,673.0,0.0097110255543792,0.9902889744456208,,,,,,,,,,,,,,,"Beta-Binomial estimator (Chiu 2022 Eq. 7). Parameters alpha_BB=alpha_GP, beta_BB=beta_GP*T derived from Gamma-Poisson fit.",non_parametric
parserf,parserf,synthetic,True,known_total,331301.0,14186,14186,14186,14236.98036882808,50.98036882807901,-317064.01963117195,317064.01963117195,0.9570270528346488,0.0428190678567224,Chao1,incidence_frequency,Chao1 (incidence-based),3,414.0,1681.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserf,parserf,synthetic,True,known_total,331301.0,14186,14186,14186,14236.904617908573,50.90461790857262,-317064.0953820914,317064.0953820914,0.9570272814814668,0.0428190678567224,Chao2,incidence_frequency,Chao2 (incidence-based),3,414.0,1681.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
