subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
jsoncpp,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,1108,1108.0,564.8483754512636,4.891785771520334e-246,1.0,1108.0,0.0,-49911.95035126702,99825.90070253404,99830.91101440135,58.19466442769228,,,,,,,incidence_frequency,Poisson,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
libpcap,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,1723,1723.0,,0.0019806436568653,0.9980193563431348,1726.419421676633,3.4194216766329646,-12445.818558495144,24893.63711699029,24899.08893922682,22.720621593226937,0.0019826077253548,504.3862117610996,504.3862117610996,,,,incidence_frequency,Exponential,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libpcap,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,1723,1723.0,,2.7013068902212317e-08,0.9999999729869312,1723.000046543519,4.6543518919861526e-05,-12006.94356278023,24017.88712556046,24028.79077003352,22.64311358003073,0.0060281346966439,165.88879484672682,505.38810686284194,3.046547582251085,,,incidence_frequency,Gamma,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libpcap,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,1723,1723.0,,1.2610676409405898e-07,0.999999873893236,1723.000217281982,0.0002172819820316,-12000.98433199256,24005.96866398512,24016.87230845817,22.641956236938757,0.0061781741147486,161.86011941825691,504.8864557800491,3.119276431987488,,,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libpcap,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,1723,1723.0,,1.2611864366823297e-07,0.9999998738813564,1723.0002173024504,0.0002173024504372,-12000.984332051336,24005.968664102675,24016.87230857573,22.641956247762103,,,504.8883833481551,,3.119250564030968,0.006140164745182,incidence_frequency,Negative Binomial,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libpcap,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,1723,1723.0,504.8862449216483,5.37885505807748e-220,1.0,1723.0,0.0,-97751.92550107728,195505.85100215452,195511.30282439108,24.04363338461221,,,,,,,incidence_frequency,Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libtiff,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,6217,6217.0,,1.0,1e-12,6217000000000000.0,6216999999993783.0,-4122769.3986654654,8245540.797330933,8245547.532373687,46.30968486251488,107.6784823841074,0.0092869065189164,0.0092869065189164,,,,incidence_frequency,Exponential,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libtiff,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,6217,6217.0,,1.0,1e-12,6217000000000000.0,6216999999993783.0,-4122769.3986654654,8245542.797330933,8245556.267416441,46.30968486251488,485165195.4097903,2.061153622438558e-09,4.248354255291589e-18,2.061153622438558e-09,,,incidence_frequency,Gamma,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libtiff,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,6217,6217.0,,0.0102029915021871,0.9897970084978128,6281.085865712372,64.08586571237174,-41549.7053659204,83103.4107318408,83116.88081734935,44.48699179470202,0.0025897929281148,386.13125750092354,297.11540356228267,0.7694673709796003,,,incidence_frequency,Gamma-Poisson,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libtiff,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,6217,6217.0,,0.0102045333153711,0.9897954666846288,6281.095649815576,64.0956498155756,-41549.70537246349,83103.41074492698,83116.88083043552,44.4869826763072,,,297.11736021711533,,0.7694358965028971,0.002582980872403,incidence_frequency,Negative Binomial,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
